FID,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape__Length
7829,BOYLSTON STREET,5,0, , , , , ,0,5,N3090 NB,N,3090,NB,57659,BOYLSTON STREET,WASHINGTON STREET,CENTRE STREET,1,6,09271,1,5,2,0,  47,3,0,2,0,6,22,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,34,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3999,2016,14,0.01080856,57.06917227,17.3947184982,57.0691722707889
7830,COREY STREET,5,0, , , , , ,0,5,N3036 NB,N,3036,NB,272861,COREY STREET,LAGRANGE STREET,BOSTON CITY LINE,1,6,09271,1,5,2,0,  41,3,0,2,0,6,31,0,0,0,0,0,0,0,0,3,0,4,2,0,0, ,1,1,0,0,50,1,1,0,0,NEWTON,207,17,6,Boston Region,MAPC,MBTA,1,3560,2016,14,0.04420293,233.39147772,71.1378646844,0.0111596501530899
7831,AMORY STREET,5,0, , , , , ,0,5,N3083 NB,N,3083,NB,56829,AMORY STREET,COLUMBUS AVENUE,WILLIAMS STREET,1,6,09271,1,5,2,0,  42,3,0,2,0,6,28,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,44,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3976,2016,14,0.0280758,148.24020935,45.1837061772,148.240209353442
7832,WASHINGTON STREET,4,0, , , , , ,0,4,N112 NB,N,112,NB,47488,WASHINGTON STREET,HYDE PARK AVENUE,DEVONSHIRE PLACE,1,3,09271,1,3,2,14,  54,2,0,2,0,6,28,0,0,0,0,0,0,0,0,3,10,10,2,25,30, ,1,1,0,0,65,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,23040,2016,14,0.0389476,205.64332006,62.6802093154,205.643320059098
7833,JOHN F FITZGERALD SURFACE ROAD,4,0, , , , , ,0,4,N433 SB,N,433,SB,452358,JOHN F FITZGERALD SURFACE ROAD,SUMMER STREET,KNEELAND STREET,1,3,09271,1,3,2,4,  69,2,0,3,3,6,36,0,0,0,0,0,0,99,2,3,8,16,1,30,30, ,12,1,0,2,92,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,646,2016,14,0.10391865,548.69045765,167.241185975,548.690457658667
7834,DAY STREET,5,0, , , , , ,0,5,N3091 NB,N,3091,NB,58493,DAY STREET,MINDEN STREET,CENTRE PERKINS STREET ROTARY,1,6,09271,1,5,2,0,  47,3,0,2,0,6,26,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,42,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,4058,2016,14,0.04385682,231.56402922,70.580857267,231.564029218995
7835,MOUNT PLEASANT AVENUE,5,0, , , , , ,0,5,L121924 NB,L,121924,NB,0,MOUNT PLEASANT AVENUE,DUDLEY STREET,DUDLEY STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,1,0,0, ,1,1,0,0,40,2,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.07879324,416.0283063,126.805681372,416.028306306995
7836,MINOT STREET,5,0, , , , , ,0,5,N3076 WB,N,3076,WB,49144,MINOT STREET,CARRUTH STREET,NEPONSET AVENUE,1,6,09271,1,5,2,0,  55,3,0,2,0,5,31,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,45,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3785,2016,14,0.03431623,181.18971829,55.2267365894,181.189718293355
7837,WASHINGTON STREET,4,0, , , , , ,0,4,N1558 NB,N,1558,NB,58614,WASHINGTON STREET,HYDE PARK AVENUE,DEVONSHIRE PLACE,1,5,09271,1,4,2,0,  65,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,8,8,1,0,0, ,1,1,0,0,55,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,24165,2016,14,0.00904775,47.77214405,14.5609786288,47.7721440526871
7838,HOYT STREET,5,0, , , , , ,0,5,L131730 EB,L,131730,EB,0,HOYT STREET,DORCHESTER AVENUE,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,4,5,2,0,0, ,1,1,0,0,35,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.03759238,198.48776292,60.4991911368,198.487762920636
7839,PURCHASE STREET,4,0, , , , , ,0,4,N433 SB,N,433,SB,54825,PURCHASE STREET,HIGH STREET,SUMMER STREET,1,3,09271,1,3,2,4,  69,2,0,3,3,6,36,0,0,0,0,0,0,99,2,3,16,16,1,30,30, ,12,1,0,2,60,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,646,2016,14,0.08215045,433.75437187,132.208596963,433.754917534274
7840,BRADLEE STREET,5,0, , , , , ,0,5,L160243 NB,L,160243,NB,0,BRADLEE STREET,SAFFORD STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,20,0,0,0,0,0,0,0,0,3,5,5,2,0,0, ,1,1,0,0,30,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.07483073,395.10622969,120.428619666,395.106229684493
7841,RITA ROAD,5,0, , , , , ,0,5,L106961 NB,L,106961,NB,0,RITA ROAD,GALLIVAN BOULEVARD,SAINT BRENDAN ROAD,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,40,3,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.13874385,732.56752956,223.287029584,732.567529560845
7842,MASSACHUSETTS AVENUE,4,0, , , , , ,0,4,N120 EB,N,120,EB,52006,MASSACHUSETTS AVENUE,HUNTINGTON AVENUE,COMMONWEALTH AVENUE,1,3,09271,1,3,2,14,  59,2,0,4,0,6,44,0,0,0,0,0,0,0,0,3,14,14,2,30,30, ,1,1,0,0,95,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,29052,2016,14,0.03107151,164.05759775,50.0048558042,164.05759775621
