OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1111,Summer Street,45263200.000000000000000,3,2,1,2023,SBL,0.002120695834463,"MULTILINESTRING M ((-71.042204218999984 42.346241807000069 NAN, -71.042081435999933 42.346176041000035 NAN, -71.041921377999984 42.346072437000032 NAN, -71.041206793999947 42.34560818500006 NAN, -71.040418695999961 42.345098417000031 NAN))"
1112,State Street,5791801.000000000000000,3,2,,2020,SBL,0.000231988087139,"MULTILINESTRING M ((-71.052408014999969 42.359529538000061 NAN, -71.052637197999957 42.35949357100003 NAN))"
1113,University Of Massachusetts Access Road,5438801.000000000000000,0,B,,2019,BL,0.001585192669858,"MULTILINESTRING M ((-71.045384178999939 42.314147777000073 NAN, -71.045327701999952 42.314171551000072 NAN, -71.044930110999985 42.314348346000031 NAN, -71.044581340999969 42.314457255000036 NAN, -71.044386996999947 42.31449305600006 NAN, -71.043965895999975 42.314459312000054 NAN, -71.043867794999983 42.314426808000064 NAN))"
1114,Mount Vernon Street,4676100.000000000000000,6,2,,2019,SBL,0.000681688225933,"MULTILINESTRING M ((-71.039330854999946 42.316817056000048 NAN, -71.039277365999965 42.316796587000056 NAN, -71.038683022999976 42.316605139000046 NAN))"
1115, ,6066300.000000000000000,0, ,,2019,SBL,0.001070931901903,"MULTILINESTRING M ((-71.038683022999976 42.316605139000046 NAN, -71.037745993999977 42.316448416000071 NAN, -71.03764130199994 42.316387974000065 NAN))"
1116,Summer Street,4551400.000000000000000,3,2,,2023,BLSL,0.000663964960800,"MULTILINESTRING M ((-71.035526952999987 42.339231549000033 NAN, -71.035551662999978 42.339895054000067 NAN))"
1117,Central Square,5858800.000000000000000,0,2,,2017,SLM,0.000259150826178,"MULTILINESTRING M ((-71.039768920999961 42.374487018000025 NAN, -71.039538096999934 42.374369207000029 NAN))"
1118,Beacon Street,5248700.000000000000000,3,2,,2009,BL,0.005098777807038,
1119,Commonwealth Avenue,6227000.000000000000000,3,2,1,2013,BL,0.002959723942391,"MULTILINESTRING M ((-71.155040938999946 42.33863240800008 NAN, -71.155193423999947 42.338701219000029 NAN, -71.155852446999972 42.339025608000043 NAN, -71.156236812999964 42.339195562000043 NAN, -71.156655546999957 42.339356052000028 NAN, -71.157033532999947 42.339479848000053 NAN, -71.157624103999979 42.339666167000075 NAN, -71.157788665999988 42.339716854000073 NAN))"
1120,Lake Street,5786200.000000000000000,6,2,,2011,BL,0.000170404030400,"MULTILINESTRING M ((-71.162118327999963 42.346381240000028 NAN, -71.162016644999937 42.346517981000034 NAN))"
