"","start_station","n","start_lat","start_lng"
"128","Bowdoin St at Quincy St",11977,42.3078291675831,-71.0651569398025
"129","Boylston / Mass Ave",23367,42.347265,-71.088088
"130","Boylston St / Berkeley St",17468,42.350989,-71.073644
"131","Boylston St / Washington St",20560,42.352409,-71.062679
"132","Boylston St at Arlington St",127756,42.3522109129764,-71.0696705436697
"133","Boylston St at Arlington St TEMPORARY WINTER LOCATION",1630,42.352583438377,-71.067662499936
"134","Boylston St at Berkeley St",89670,42.3511160842975,-71.0734154333396
"135","Boylston St at Charles St",4606,42.3525760946701,-71.0676440504176
"136","Boylston St at Charles St (Temp Winter Location)",2021,42.3525852484964,-71.0677027702332
"137","Boylston St at Dartmouth St",45686,42.3502899430899,-71.0775967985055
"138","Boylston St at Dartmouth St FORMER",2633,42.350413,-71.07655
"139","Boylston St at Exeter St",107152,42.3497177245045,-71.0792725256457
"140","Boylston St at Fairfield St",170260,42.3488121563653,-71.0823699510032
"141","Boylston St at Jersey St",163421,42.344715196186,-71.0969906095905
"142","Boylston St at Jersey St (former)",589,42.3446957086622,-71.0972379148006
"143","Boylston St at Massachusetts Ave",177807,42.3474679842615,-71.0868718502797
"144","Boylston St at Washington St",12297,42.352409,-71.062679
"145","Boylston St. at Arlington St.",26835,42.3522915323283,-71.0692238937149
"146","Boylston T Stop",674,42.3524751277375,-71.065256047125
"147","Boylston at Fairfield",25462,42.348762,-71.082383
"148","Boynton Yards at 101 South Street",10408,42.3753686744659,-71.0910990716177
"149","Bremen St at Marion St",5287,42.3740897025625,-71.0327767897457
"150","Brian P. Murphy Staircase at Child Street",4547,42.3718377972257,-71.072213143183
"151","Bridge Street Neck",1012,42.5280411571516,-70.889419362701
"152","Brigham Cir / Huntington Ave",11378,42.334073,-71.105221
"153","Brigham Circle - Francis St at Huntington Ave",84170,42.3345046686521,-71.1045210012762
"154","Brighton Ave at Linden St",31565,42.352810117171,-71.1296734737789
"155","Brighton Center",2156,42.3489485723559,-71.1502718925476
"156","Brighton Center - Washington St at Cambridge St",43869,42.3488757159559,-71.1500609064395
"157","Brighton Mills - 370 Western Ave",48603,42.3615068010371,-71.1376977324385
"158","Broad Canal Way at Third Street",25775,42.3631039981843,-71.0830964947245
"159","Broad St at Central St",23747,42.3583630967536,-71.0545906763282
"160","Broadway Opposite Norwood Ave  (Temp Winter Station)",371,42.396764,-71.102376
"161","Broadway St at Mt Pleasant St",31102,42.386072216509,-71.0782760714559
"162","Broadway T Stop",27453,42.3430627583826,-71.0580082264519
"163","Broadway T Stop (former)",311,42.3428,-71.05751
"164","Broadway and Cabot",529,42.4022548624933,-71.01958249814
"165","Broadway at Beacham St",8912,42.3985030520058,-71.0636815448278
"166","Broadway at Central St",27824,42.3951089863094,-71.0984992211243
"167","Broadway at Gerrish Ave",716,42.3946037418997,-71.0307912038229
"168","Broadway at Grafton St",3686,42.4099070967843,-71.1399956895457
"169","Broadway at Kittie Knox Bike Path",19130,42.3640918893063,-71.0875320830835
"170","Broadway at Lynde St",10834,42.3962330866907,-71.0659845056812
"171","Broadway at Maple St",5653,42.4103872483881,-71.0526003820234
"172","Brookline Town Hall",29003,42.3337376993356,-71.1204414842798
"173","Brookline Village - Pearl Street @ MBTA",4017,42.332799,-71.116205
"174","Brookline Village - Pearl Street at MBTA",3191,42.3328656399836,-71.1162514192084
"175","Brookline Village - Station Street @ MBTA",6152,42.3333277333936,-71.1185239069619
"176","Brookline Village - Station Street @ MBTA TEMPORARY WINTER LOCATION",398,42.3337647262349,-71.1204644666032
"177","Brookline Village - Station Street at MBTA",53036,42.3328602542889,-71.1162053743756
"178","Brookline Village MBTA at Pearl Street",2265,42.3328177755962,-71.1162589587853
"179","Bunker Hill Community College",37582,42.3741896255588,-71.0691287657342
"180","Burlington Ave at Brookline Ave",51009,42.345791767233,-71.100893238516
"181","Buswell St. at Park Dr.",13803,42.347241,-71.105301
"182","Butler T Stop",1725,42.2725642271849,-71.0629970071712
"183","California at Chapel",3983,42.3651337411271,-71.202291355323
"184","Cambridge Crossing at North First Street",54043,42.3713868232062,-71.0764220875039
"185","Cambridge Dept. of Public Works -147 Hampshire St.",100525,42.3712374006598,-71.0976240017673
"186","Cambridge Main Library at Broadway / Trowbridge St",137001,42.3734463303307,-71.1110890663092
"187","Cambridge St - at Columbia St / Webster Ave",127127,42.3730476555288,-71.094377009526
"188","Cambridge St at Joy St",169323,42.36120739682,-71.0653256036684
"189","Cambridge St at Warren St",853,42.3502155147475,-71.1466589313737
"190","Cambridge St. at Joy St.",24281,42.361174,-71.065142
"191","CambridgeSide Galleria - CambridgeSide PL at Land Blvd",103214,42.367266445842,-71.0771026369989
"192","Cambridgeside Pl at Land Blvd",17734,42.3669367066546,-71.0765580185564
"193","Canal St at Causeway St",80489,42.3651961991769,-71.0610470672637
"194","Canal St. at Causeway St.",238,42.3641753682,-71.0597024609846
"195","Carr Park",626,42.4209626959231,-71.0913445536923
"196","Cary Square",1656,42.3980142029216,-71.0305273920343
"197","Cedar Grove T Stop",303,42.2797071147772,-71.0602007736964
"198","Central Ave at River St",2774,42.2709177021991,-71.0734037967864
"199","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",216228,42.3664353147731,-71.1056277883921
"200","Central Square - East Boston",504,42.3738166435642,-71.0399507332305
"201","Central Square East Boston",18408,42.3753493437035,-71.0393742800097
"202","Central Square East Boston - Porter Street at London Street",17,42.3743013161782,-71.0380867124695
"203","Central Square at Mass Ave / Essex St",454952,42.365049465373,-71.1029220231401
"204","Centre St at Allandale St",2148,42.3006907186887,-71.1275552334811
"205","Centre St at Commonwealth Ave",1023,42.3360759064828,-71.1938284262414
"206","Centre St at Parkway YMCA",2136,42.282935124438,-71.1571244472713
"207","Centre St at Seaverns Ave",20941,42.3126130577993,-71.1141775349392
"208","Centre St at Seaverns Ave (former)",241,42.3121202835661,-71.1142980680779
"209","Centre St at W. Roxbury Post Office",3091,42.2862914449605,-71.1534646963088
